字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
正品,正品,1.0,相信是正品,0.996855,0.00314526,0.993011,2
包装,正品,0.89,相信是正品,0.996855,0.00314526,0.993011,2
包装,盒,0.892,吃了1盒左右,0.936077,0.063923,0.857949,2
效果,见效快,0.701,见效快,0.999066,0.000934155,0.997924,2
正品,正规,0.871,都是正规的,0.986819,0.0131812,0.970709,2
包装,包邮,0.877,而且包邮,0.891609,0.108391,0.759131,2
发货,包邮,0.886,而且包邮,0.891609,0.108391,0.759131,2
效果,效果,1.0,效果不错,0.999498,0.000502392,0.998884,2
质量,物超所值,0.871,物超所值,0.999436,0.000563886,0.998747,2
发货,收到,0.874,宝贝收到,0.978708,0.0212922,0.952684,2
包装,外包装,1.0,商家外包装非常用心,0.954444,0.045556,0.898765,2
正品,商品,0.885,商品完好无损,0.978315,0.021685,0.951811,2
价格,商品,0.884,商品完好无损,0.978315,0.021685,0.951811,2
包装,商品,0.884,商品完好无损,0.978315,0.021685,0.951811,2
效果,效果,1.0,效果很好,0.999885,0.000115396,0.999744,2
发货,收到,0.874,宝贝收到质量很好,0.999792,0.000207587,0.999539,2
质量,质量,1.0,宝贝收到质量很好,0.999792,0.000207587,0.999539,2
效果,效果,1.0,效果不错,0.999498,0.000502392,0.998884,2
效果,效果,1.0,而且效果很好,0.999907,9.3329e-05,0.999793,2
效果,效果,1.0,效果不错,0.999498,0.000502392,0.998884,2
效果,效果,1.0,而且效果很好,0.999907,9.3329e-05,0.999793,2
效果,常备,0.854,家里常备的药品,0.988371,0.0116287,0.974158,2
正品,药品,0.879,家里常备的药品,0.988371,0.0116287,0.974158,2
包装,药品,0.878,家里常备的药品,0.988371,0.0116287,0.974158,2
发货,发货,1.0,发货快,0.882109,0.117891,0.738021,2
正品,包装,0.89,包装非常牢固,0.99895,0.00105016,0.997666,2
包装,包装,1.0,包装非常牢固,0.99895,0.00105016,0.997666,2
物流,物流,1.0,物流也特别快,0.998981,0.0010189,0.997736,2
正品,物品,0.876,第一次花了几百元网购的这件物品,0.664601,0.335399,0.25467,2
正品,物品,0.876,非常感谢卖家能卖出这么好的物品,0.988119,0.0118814,0.973597,2
正品,物品,0.876,还会在来选购你的物品,0.998943,0.00105685,0.997651,2
物流,物品,0.865,第一次花了几百元网购的这件物品,0.664602,0.335398,0.25467,2
物流,物品,0.865,非常感谢卖家能卖出这么好的物品,0.988119,0.0118814,0.973597,2
物流,物品,0.865,还会在来选购你的物品,0.998943,0.00105685,0.997651,2
包装,物品,0.886,第一次花了几百元网购的这件物品,0.664602,0.335398,0.25467,2
包装,物品,0.886,非常感谢卖家能卖出这么好的物品,0.988119,0.0118814,0.973597,2
包装,物品,0.886,还会在来选购你的物品,0.998943,0.00105685,0.997651,2
发货,卖家,0.729,非常感谢卖家能卖出这么好的物品,0.988119,0.0118814,0.973597,2
正品,物品,0.876,第一次花了几百元网购的这件物品,0.664602,0.335398,0.25467,2
正品,物品,0.876,非常感谢卖家能卖出这么好的物品,0.988119,0.0118814,0.973597,2
正品,物品,0.876,还会在来选购你的物品,0.998943,0.00105685,0.997651,2
物流,物品,0.865,第一次花了几百元网购的这件物品,0.664601,0.335399,0.25467,2
物流,物品,0.865,非常感谢卖家能卖出这么好的物品,0.988119,0.0118814,0.973597,2
物流,物品,0.865,还会在来选购你的物品,0.998943,0.00105685,0.997651,2
包装,物品,0.886,第一次花了几百元网购的这件物品,0.664602,0.335398,0.25467,2
包装,物品,0.886,非常感谢卖家能卖出这么好的物品,0.988119,0.0118814,0.973597,2
包装,物品,0.886,还会在来选购你的物品,0.998943,0.00105685,0.997651,2
正品,物品,0.876,第一次花了几百元网购的这件物品,0.664601,0.335399,0.25467,2
正品,物品,0.876,非常感谢卖家能卖出这么好的物品,0.988119,0.0118814,0.973597,2
正品,物品,0.876,还会在来选购你的物品,0.998943,0.00105685,0.997651,2
物流,物品,0.865,第一次花了几百元网购的这件物品,0.664601,0.335399,0.25467,2
物流,物品,0.865,非常感谢卖家能卖出这么好的物品,0.988119,0.0118814,0.973597,2
物流,物品,0.865,还会在来选购你的物品,0.998943,0.00105685,0.997651,2
包装,物品,0.886,第一次花了几百元网购的这件物品,0.664601,0.335399,0.25467,2
包装,物品,0.886,非常感谢卖家能卖出这么好的物品,0.988119,0.0118814,0.973597,2
包装,物品,0.886,还会在来选购你的物品,0.998943,0.00105685,0.997651,2
正品,包装,0.89,包装非常结实,0.999262,0.000738121,0.99836,2
包装,包装,1.0,包装非常结实,0.999262,0.000738121,0.99836,2
发货,收到,0.874,药收到了,0.12742,0.87258,0.716845,0
正品,药品,0.879,家庭必备药品,0.994792,0.00520848,0.988426,2
包装,药品,0.878,家庭必备药品,0.994792,0.00520848,0.988426,2
物流,物流,1.0,物流很快,0.994968,0.00503173,0.988818,2
效果,效果,1.0,效果可以,0.998192,0.00180766,0.995983,2
发货,发货,1.0,发货快,0.882109,0.117891,0.738021,2
正品,包装,0.89,包装好,0.977648,0.0223516,0.95033,2
包装,包装,1.0,包装好,0.977648,0.0223517,0.95033,2
正品,正品,1.0,还保证正品,0.991452,0.00854815,0.981004,2
包装,正品,0.89,还保证正品,0.991452,0.00854815,0.981004,2
正品,包装,0.89,包装设计巧妙,0.990749,0.00925124,0.979442,2
包装,包装,1.0,包装设计巧妙,0.990749,0.00925124,0.979442,2
正品,包装,0.89,新包装了,0.761199,0.238801,0.46933,2
包装,包装,1.0,新包装了,0.761199,0.238801,0.46933,2
正品,包装,0.89,包装完好,0.975809,0.0241915,0.946241,2
包装,包装,1.0,包装完好,0.975809,0.0241915,0.946241,2
效果,见效,0.871,用着很见效,0.9989,0.00109962,0.997556,2
效果,速度,0.722,速度很快,0.999424,0.000575719,0.998721,2
质量,速度,0.888,速度很快,0.999424,0.000575719,0.998721,2
效果,效果,1.0,效果杠杠的,0.99987,0.000129822,0.999712,2
正品,正品,1.0,是正品药,0.972779,0.0272211,0.939509,2
包装,正品,0.89,是正品药,0.972779,0.0272211,0.939509,2
物流,物流,1.0,物流还是很快的,0.96875,0.0312495,0.930557,2
质量,质量,1.0,质量有保证,0.999554,0.00044579,0.999009,2
包装,药盒,0.882,药盒设计给5星,0.997245,0.00275463,0.993878,2
效果,效果,1.0,感康片效果挺好的,0.998421,0.00157918,0.996491,2
价格,价格,1.0,价格实惠,0.999855,0.00014521,0.999677,2
效果,常备,0.854,家中常备,0.996399,0.00360102,0.991998,2
发货,发货,1.0,发货快,0.882109,0.117891,0.73802,2
质量,感,0.874,感康复方氨酚烷片三片三盒装,0.0917643,0.908236,0.796079,0
质量,感,0.874,感冒没药吃啦,0.809264,0.190736,0.576142,2
正品,盒装,0.704,感康复方氨酚烷片三片三盒装,0.0917643,0.908236,0.796079,0
包装,盒装,0.88,感康复方氨酚烷片三片三盒装,0.0917642,0.908236,0.796079,0
物流,材料,0.869,他买的特别多的材料,0.994225,0.005775,0.987167,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424335,0.999057,2
质量,回购,0.856,回购一直在这购买,0.999213,0.000786573,0.998252,2
效果,效果,1.0,吃了有效果,0.993482,0.00651821,0.985515,2
效果,效果,1.0,效果特别好,0.999938,6.23165e-05,0.999861,2
发货,发货,1.0,发货快,0.882109,0.117891,0.73802,2
服务,服务,1.0,服务好,0.984591,0.0154092,0.965757,2
包装,老板,0.864,希望老板能发挥好作用,0.147955,0.852045,0.67121,0
发货,发挥,0.848,希望老板能发挥好作用,0.147955,0.852045,0.67121,0
物流,送,0.852,送药物流很快,0.989074,0.0109256,0.975721,2
发货,送,0.871,送药物流很快,0.989074,0.0109256,0.975721,2
物流,流,0.858,送药物流很快,0.989074,0.0109256,0.975721,2
效果,常备,0.854,先买些常备的感冒药囤着,0.920735,0.0792651,0.823855,2
发货,收到,0.874,收到了很不错,0.999788,0.000211719,0.99953,2
发货,囤货,0.888,囤货,0.81158,0.18842,0.581289,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424336,0.999057,2
发货,发货,1.0,发货快物流给力,0.99301,0.0069904,0.984466,2
物流,物流,1.0,发货快物流给力,0.99301,0.0069904,0.984466,2
发货,发货,1.0,发货快,0.882109,0.117891,0.738021,2
效果,效果,1.0,宝贝效果也非常好,0.999973,2.69139e-05,0.99994,2
效果,有用,0.87,希望有用,0.835585,0.164415,0.634633,2
效果,速度,0.722,速度很快,0.999424,0.000575719,0.998721,2
质量,速度,0.888,速度很快,0.999424,0.000575719,0.998721,2
效果,常备,0.854,家中常备,0.996399,0.00360102,0.991998,2
正品,包装,0.89,包装很好,0.997631,0.00236918,0.994735,2
包装,包装,1.0,包装很好,0.997631,0.00236918,0.994735,2
发货,收到,0.874,感康药己收到非常好正品包装很不错,0.996777,0.00322265,0.992838,2
正品,正品,1.0,感康药己收到非常好正品包装很不错,0.996777,0.00322265,0.992838,2
包装,正品,0.89,感康药己收到非常好正品包装很不错,0.996777,0.00322265,0.992838,2
正品,包装,0.89,感康药己收到非常好正品包装很不错,0.996777,0.00322265,0.992838,2
包装,包装,1.0,感康药己收到非常好正品包装很不错,0.996777,0.00322265,0.992838,2
正品,假药,0.744,网上买药害怕买到假药,0.0447394,0.955261,0.900579,0
发货,假药,0.873,网上买药害怕买到假药,0.0447394,0.955261,0.900579,0
正品,正品,1.0,是正品,0.998528,0.00147158,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147158,0.99673,2
效果,常备,0.854,家中常备感冒药以防万一,0.933103,0.0668967,0.851341,2
价格,以防万一,0.854,家中常备感冒药以防万一,0.933103,0.0668967,0.851341,2
正品,正品,1.0,是正品,0.998528,0.00147158,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147158,0.99673,2
发货,发货,1.0,而且发货速度快,0.99589,0.00410949,0.990868,2
质量,速度快,0.712,而且发货速度快,0.99589,0.00410949,0.990868,2
发货,囤货,0.888,疫情买来囤货的,0.840271,0.159729,0.645046,2
发货,收到,0.874,药收到,0.460311,0.539689,0.206228,1
效果,效果,1.0,效果很好,0.999885,0.000115396,0.999744,2
价格,价,1.0,真好活动价购入,0.999738,0.00026157,0.999419,2
发货,囤货,0.888,买来囤货,0.909507,0.0904929,0.798905,2
效果,效果,1.0,感康对于感冒效果非常好,0.998851,0.00114876,0.997447,2
效果,管用,0.874,是真的管用,0.988962,0.0110381,0.975471,2
发货,发货,1.0,发货也快,0.973567,0.0264335,0.941259,2
质量,服务态度,0.877,服务态度很好,0.991091,0.00890882,0.980203,2
服务,服务态度,0.881,服务态度很好,0.991091,0.00890882,0.980203,2
价格,售后,0.873,售后也有保障,0.989707,0.0102927,0.977127,2
物流,售后,0.887,售后也有保障,0.989707,0.0102927,0.977127,2
服务,售后,0.89,售后也有保障,0.989707,0.0102927,0.977127,2
发货,卖家,0.729,难得认真负责的好卖家,0.998958,0.0010424,0.997684,2
效果,效果,1.0,效果很好,0.999885,0.000115396,0.999744,2
效果,效果,1.0,效果很明显,0.999713,0.000287457,0.999361,2
发货,收到,0.874,收到药品非常快,0.995616,0.00438382,0.990258,2
正品,药品,0.879,收到药品非常快,0.995616,0.00438382,0.990258,2
包装,药品,0.878,收到药品非常快,0.995616,0.00438382,0.990258,2
价格,价格,1.0,价格很实在,0.994928,0.00507228,0.988728,2
正品,正品,1.0,扫了一下是正品,0.985003,0.0149975,0.966672,2
包装,正品,0.89,扫了一下是正品,0.985003,0.0149975,0.966672,2
正品,正版,0.873,正版药,0.990625,0.0093751,0.979166,2
物流,物流,1.0,物流速度也很快点赞点赞,0.999953,4.71231e-05,0.999895,2
效果,速度,0.722,物流速度也很快点赞点赞,0.999953,4.71231e-05,0.999895,2
质量,速度,0.888,物流速度也很快点赞点赞,0.999953,4.71231e-05,0.999895,2
正品,药品,0.879,药品已收到,0.420534,0.579466,0.0654801,0
包装,药品,0.878,药品已收到,0.420534,0.579466,0.0654799,0
发货,收到,0.874,药品已收到,0.420534,0.579466,0.0654801,0
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424335,0.999057,2
质量,质量,1.0,质量不错发货速度很快,0.998707,0.00129323,0.997126,2
发货,发货,1.0,质量不错发货速度很快,0.998707,0.00129323,0.997126,2
效果,速度,0.722,质量不错发货速度很快,0.998707,0.00129323,0.997126,2
质量,速度,0.888,质量不错发货速度很快,0.998707,0.00129323,0.997126,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424336,0.999057,2
价格,价格,1.0,价格实惠,0.999855,0.00014521,0.999677,2
正品,包装,0.89,不错～包装很好,0.999057,0.000942989,0.997904,2
包装,包装,1.0,不错～包装很好,0.999057,0.000942989,0.997904,2
正品,券,0.877,用了券,0.846642,0.153358,0.659205,2
正品,正好,0.852,正好现在买不到了,0.862554,0.137446,0.694564,2
物流,物流,1.0,物流快,0.996123,0.00387649,0.991386,2
效果,常备,0.854,常备药品,0.88882,0.11118,0.752933,2
正品,药品,0.879,常备药品,0.88882,0.11118,0.752933,2
包装,药品,0.878,常备药品,0.88882,0.11118,0.752933,2
质量,速度快,0.712,速度快,0.999907,9.25521e-05,0.999794,2
质量,质量,1.0,质量好,0.999792,0.000208209,0.999537,2
价格,价格,1.0,价格实惠,0.999855,0.00014521,0.999677,2
质量,服务态度,0.877,服务态度很好,0.991091,0.00890882,0.980203,2
服务,服务态度,0.881,服务态度很好,0.991091,0.00890882,0.980203,2
价格,性价比,0.724,性价比高,0.999885,0.000115398,0.999744,2
发货,收到,0.874,宝贝收到了,0.905408,0.0945918,0.789796,2
发货,收货,1.0,确认收货,0.0715608,0.928439,0.840976,0
正品,正牌,0.87,正牌正品,0.999669,0.000331054,0.999264,2
品牌,正牌,0.861,正牌正品,0.999669,0.000331054,0.999264,2
正品,正品,1.0,正牌正品,0.999669,0.000331054,0.999264,2
包装,正品,0.89,正牌正品,0.999669,0.000331054,0.999264,2
物流,物流,1.0,阿里健康的物流包装箱有味儿,0.95483,0.0451702,0.899622,2
包装,包装箱,0.955,阿里健康的物流包装箱有味儿,0.95483,0.0451702,0.899622,2
味道,味儿,1.0,阿里健康的物流包装箱有味儿,0.95483,0.0451702,0.899622,2
效果,效果,1.0,效果不错,0.999498,0.000502391,0.998884,2
效果,天冷,0.856,天冷了家里适合屯一些,0.982916,0.0170835,0.962037,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424336,0.999057,2
正品,包装,0.89,包装完好,0.975809,0.0241915,0.946241,2
包装,包装,1.0,包装完好,0.975809,0.0241915,0.946241,2
效果,速度,0.722,速度够快,0.999897,0.00010338,0.99977,2
质量,速度,0.888,速度够快,0.999897,0.00010338,0.99977,2
发货,收到,0.874,网购感康收到,0.513512,0.486488,0.729761,1
正品,包装,0.89,包装完好,0.975809,0.0241915,0.946241,2
包装,包装,1.0,包装完好,0.975809,0.0241915,0.946241,2
效果,程度,0.747,放心程度也增加,0.998842,0.00115795,0.997427,2
效果,药效,0.888,药效还是不错,0.995778,0.004222,0.990618,2
发货,收到,0.874,药收到了很满意给个好评,0.999425,0.000575264,0.998722,2
质量,回购,0.856,回购多次,0.991937,0.00806314,0.982082,2
效果,效果,1.0,效果不错,0.999498,0.000502392,0.998884,2
质量,回购,0.856,特别满意需要还回购,0.999927,7.29828e-05,0.999838,2
发货,下单,1.0,昨天晚上下单今天傍晚送达物流非常快第＿次在淘宝店买药很愉快的一次购物,0.999624,0.000376143,0.999164,2
发货,送达,0.886,昨天晚上下单今天傍晚送达物流非常快第＿次在淘宝店买药很愉快的一次购物,0.999624,0.000376143,0.999164,2
物流,物流,1.0,昨天晚上下单今天傍晚送达物流非常快第＿次在淘宝店买药很愉快的一次购物,0.999624,0.000376143,0.999164,2
发货,收到,0.874,货已收到,0.367432,0.632568,0.183485,0
正品,正品,1.0,是正品,0.998528,0.00147158,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147159,0.99673,2
效果,效果,1.0,药效果怎么样不知道,0.0297209,0.970279,0.933954,0
质量,物超所值,0.871,物美价廉物超所值,0.999801,0.000198523,0.999559,2
质量,速度快,0.712,速度快,0.999907,9.25521e-05,0.999794,2
发货,简单,0.859,十分简单,0.977068,0.0229318,0.949041,2
效果,速度,0.722,快递速度也很给力,0.999649,0.000351019,0.99922,2
质量,速度,0.888,快递速度也很给力,0.999649,0.000351019,0.99922,2
效果,常备,0.854,家中常备,0.996399,0.00360102,0.991998,2
效果,常备,0.854,家中常备,0.996399,0.00360102,0.991998,2
质量,回购,0.856,有需要再回购,0.986666,0.0133343,0.970368,2
物流,物流,1.0,物流还比较快,0.7002,0.2998,0.333778,2
发货,发货,1.0,发货快,0.882109,0.117891,0.73802,2
物流,物流,1.0,物流快,0.996123,0.0038765,0.991386,2
价格,价格,1.0,价格实惠,0.999855,0.00014521,0.999677,2
物流,物流,1.0,物流很快,0.994968,0.00503173,0.988818,2
正品,物品,0.876,第一次花几百元网购的这件物品,0.768458,0.231541,0.485463,2
正品,物品,0.876,非常感谢商家这么好的物品,0.997913,0.00208688,0.995363,2
正品,物品,0.876,还会购买你的物品,0.997612,0.0023884,0.994693,2
物流,物品,0.865,第一次花几百元网购的这件物品,0.768458,0.231541,0.485463,2
物流,物品,0.865,非常感谢商家这么好的物品,0.997913,0.00208689,0.995363,2
物流,物品,0.865,还会购买你的物品,0.997612,0.0023884,0.994693,2
包装,物品,0.886,第一次花几百元网购的这件物品,0.768458,0.231542,0.485463,2
包装,物品,0.886,非常感谢商家这么好的物品,0.997913,0.00208689,0.995363,2
包装,物品,0.886,还会购买你的物品,0.997612,0.0023884,0.994693,2
正品,物品,0.876,第一次花几百元网购的这件物品,0.768458,0.231542,0.485463,2
正品,物品,0.876,非常感谢商家这么好的物品,0.997913,0.00208688,0.995363,2
正品,物品,0.876,还会购买你的物品,0.997612,0.0023884,0.994693,2
物流,物品,0.865,第一次花几百元网购的这件物品,0.768458,0.231542,0.485463,2
物流,物品,0.865,非常感谢商家这么好的物品,0.997913,0.00208688,0.995363,2
物流,物品,0.865,还会购买你的物品,0.997612,0.0023884,0.994693,2
包装,物品,0.886,第一次花几百元网购的这件物品,0.768458,0.231541,0.485463,2
包装,物品,0.886,非常感谢商家这么好的物品,0.997913,0.00208689,0.995363,2
包装,物品,0.886,还会购买你的物品,0.997612,0.0023884,0.994693,2
正品,物品,0.876,第一次花几百元网购的这件物品,0.768458,0.231542,0.485463,2
正品,物品,0.876,非常感谢商家这么好的物品,0.997913,0.00208688,0.995363,2
正品,物品,0.876,还会购买你的物品,0.997612,0.0023884,0.994693,2
物流,物品,0.865,第一次花几百元网购的这件物品,0.768458,0.231542,0.485463,2
物流,物品,0.865,非常感谢商家这么好的物品,0.997913,0.00208689,0.995363,2
物流,物品,0.865,还会购买你的物品,0.997612,0.0023884,0.994693,2
包装,物品,0.886,第一次花几百元网购的这件物品,0.768458,0.231542,0.485463,2
包装,物品,0.886,非常感谢商家这么好的物品,0.997913,0.00208689,0.995363,2
包装,物品,0.886,还会购买你的物品,0.997612,0.0023884,0.994693,2
正品,商品,0.885,商品很好,0.996607,0.00339354,0.992459,2
价格,商品,0.884,商品很好,0.996607,0.00339355,0.992459,2
包装,商品,0.884,商品很好,0.996607,0.00339354,0.992459,2
质量,质量,1.0,宝贝质量很好,0.99988,0.000120309,0.999733,2
包装,老板,0.864,老板发货速度,0.397708,0.602292,0.116205,0
发货,发货,1.0,老板发货速度,0.397708,0.602292,0.116205,0
效果,速度,0.722,老板发货速度,0.397708,0.602292,0.116205,0
质量,速度,0.888,老板发货速度,0.397708,0.602292,0.116205,0
质量,回购,0.856,每次感冒都得回购,0.966473,0.0335271,0.925495,2
价格,价格,1.0,价格实惠,0.999855,0.000145209,0.999677,2
效果,效果显著,0.875,效果显著,0.99983,0.000169737,0.999623,2
效果,速度,0.722,速度很快,0.999424,0.000575719,0.998721,2
质量,速度,0.888,速度很快,0.999424,0.000575719,0.998721,2
物流,物流,1.0,物流很快,0.994968,0.00503173,0.988818,2
正品,正品,1.0,都是正品药,0.983803,0.016197,0.964007,2
包装,正品,0.89,都是正品药,0.983803,0.016197,0.964007,2
物流,物流,1.0,物流很快非常满意,0.999702,0.00029847,0.999337,2
发货,收到,0.874,宝贝收到了,0.905408,0.0945918,0.789796,2
发货,发货,1.0,发货快,0.882109,0.117891,0.73802,2
发货,发货,1.0,发货快,0.882109,0.117891,0.738021,2
效果,药效,0.888,药效应该可以,0.972338,0.0276621,0.938529,2
效果,药效,0.888,第一天就药效挺大的,0.996878,0.00312229,0.993062,2
效果,药效,0.888,药效应该可以,0.972338,0.0276621,0.938529,2
效果,药效,0.888,第一天就药效挺大的,0.996878,0.00312229,0.993062,2
质量,质量,1.0,质量很过关,0.999754,0.000246331,0.999453,2
质量,品质,0.893,品质有保障,0.999531,0.000469438,0.998957,2
品牌,品质,0.881,品质有保障,0.999531,0.000469438,0.998957,2
正品,正品,1.0,是正品,0.998528,0.00147159,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147158,0.99673,2
发货,备货,0.895,买来备货的,0.951486,0.0485143,0.89219,2
发货,收到,0.874,宝贝收到,0.978708,0.0212922,0.952684,2
正品,常用药,0.866,给家里买的常用药,0.946028,0.0539723,0.880062,2
发货,发货,1.0,发货快,0.882109,0.117891,0.738021,2
效果,常备,0.854,家庭常备药物,0.96162,0.0383799,0.914711,2
发货,囤货,0.888,家用囤货,0.9168,0.0831995,0.815112,2
正品,商品,0.885,商品很满意,0.998291,0.00170867,0.996203,2
价格,商品,0.884,商品很满意,0.998291,0.00170867,0.996203,2
包装,商品,0.884,商品很满意,0.998291,0.00170867,0.996203,2
发货,发货,1.0,发货很快,0.946432,0.0535677,0.880961,2
味道,天气,0.871,天气冷了,0.990345,0.00965488,0.978545,2
正品,下午茶,0.868,唉作的出去吃绵绵冰下午茶,0.0117076,0.988292,0.973983,0
正品,吃完,0.865,结果吃完当天就感冒了,0.0188553,0.981145,0.9581,0
正品,吃完,0.865,一连好多天把感冒药吃完了,0.129755,0.870245,0.711654,0
正品,吃完,0.865,结果吃完当天就感冒了,0.0188552,0.981145,0.9581,0
正品,吃完,0.865,一连好多天把感冒药吃完了,0.129755,0.870245,0.711654,0
正品,正品,1.0,是正品,0.998528,0.00147158,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147159,0.99673,2
效果,效果,1.0,效果和药店买的一样物美价廉,0.999545,0.000455305,0.998988,2
效果,效果,1.0,治疗病毒性感冒效果又快又好,0.998751,0.00124926,0.997224,2
物流,物流,1.0,物流快,0.996123,0.0038765,0.991386,2
服务,客服,0.878,客服很棒,0.995714,0.00428574,0.990476,2
正品,药品,0.879,药品收到,0.521108,0.478892,0.577847,1
包装,药品,0.878,药品收到,0.521108,0.478892,0.577845,1
