字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
物流,物流,1.0,物流给力包装完好,0.99336,0.00664039,0.985243,2
正品,包装,0.89,物流给力包装完好,0.99336,0.00664039,0.985243,2
包装,包装,1.0,物流给力包装完好,0.99336,0.00664039,0.985243,2
发货,发货,1.0,发货非常快,0.993439,0.0065609,0.98542,2
发货,发,0.871,发货非常快,0.993439,0.0065609,0.98542,2
发货,发,0.871,发的顺丰,0.805256,0.194744,0.567236,2
效果,常备,0.854,家庭常备药品,0.855998,0.144002,0.679996,2
正品,药品,0.879,家庭常备药品,0.855998,0.144002,0.679996,2
包装,药品,0.878,家庭常备药品,0.855998,0.144002,0.679996,2
价格,价格便宜,0.877,阿里大药房价格便宜,0.883789,0.116211,0.741754,2
质量,品质,0.893,品质保证,0.999466,0.000534476,0.998812,2
品牌,品质,0.881,品质保证,0.999466,0.000534476,0.998812,2
效果,常备,0.854,趁有活动囤点家庭常备药品,0.990594,0.00940624,0.979097,2
正品,药品,0.879,趁有活动囤点家庭常备药品,0.990594,0.00940625,0.979097,2
包装,药品,0.878,趁有活动囤点家庭常备药品,0.990594,0.00940625,0.979097,2
价格,价格,1.0,价格很实惠,0.998653,0.00134694,0.997007,2
正品,正品,1.0,应该是正品吧,0.942424,0.0575762,0.872053,2
包装,正品,0.89,应该是正品吧,0.942424,0.0575762,0.872053,2
效果,效果,1.0,效果特别好,0.999938,6.23166e-05,0.999861,2
正品,送货,0.875,送货快,0.987194,0.0128056,0.971543,2
发货,送货,1.0,送货快,0.987194,0.0128056,0.971543,2
正品,药品,0.879,药品真一直很满意,0.999339,0.000661492,0.99853,2
包装,药品,0.878,药品真一直很满意,0.999339,0.000661492,0.99853,2
质量,质量,1.0,质量棒棒哒,0.999871,0.000128483,0.999714,2
质量,速度快,0.712,速度快,0.999907,9.25521e-05,0.999794,2
质量,质量,1.0,质量好,0.999792,0.000208209,0.999537,2
价格,价格,1.0,价格实惠,0.999855,0.000145209,0.999677,2
价格,评价,0.858,又看了看买家秀评价,0.58766,0.41234,0.083689,2
发货,发现,0.866,还被我发现了优惠券,0.80057,0.19943,0.556823,2
正品,优惠券,0.879,还被我发现了优惠券,0.80057,0.19943,0.556823,2
发货,下单,1.0,赶紧下单购买了,0.48853,0.51147,0.770591,1
发货,收到,0.874,刚刚收到宝贝,0.988786,0.0112143,0.975079,2
发货,收到,0.874,收到好大一个箱子,0.941432,0.0585677,0.86985,2
发货,收到,0.874,刚刚收到宝贝,0.988786,0.0112143,0.975079,2
发货,收到,0.874,收到好大一个箱子,0.941432,0.0585677,0.86985,2
正品,包装,0.89,包装特别仔细,0.992263,0.00773743,0.982806,2
包装,包装,1.0,包装特别仔细,0.992263,0.00773743,0.982806,2
质量,质量,1.0,描述质量物流都OK拉,0.952714,0.0472862,0.894919,2
物流,物流,1.0,描述质量物流都OK拉,0.952714,0.0472863,0.894919,2
效果,几盒,0.857,买几盒备着也好,0.998096,0.00190441,0.995768,2
效果,速度,0.722,邮政快递速度也很快,0.999124,0.000876172,0.998053,2
质量,速度,0.888,邮政快递速度也很快,0.999124,0.000876172,0.998053,2
质量,服务态度,0.877,快递小哥服务态度很好,0.993237,0.00676289,0.984971,2
服务,服务态度,0.881,快递小哥服务态度很好,0.993237,0.0067629,0.984971,2
质量,质量,1.0,质量真的好,0.999743,0.000256731,0.99943,2
包装,包装物,0.941,包装物流也不错,0.998334,0.00166576,0.996298,2
物流,流,0.858,包装物流也不错,0.998334,0.00166576,0.996298,2
发货,收到,0.874,很快就收到了,0.988866,0.011134,0.975258,2
服务,日常,0.869,日常囤货,0.888514,0.111486,0.752254,2
发货,囤货,0.888,日常囤货,0.888514,0.111486,0.752254,2
发货,到货,1.0,到货很快,0.984702,0.0152984,0.966003,2
发货,发货,1.0,发货快,0.882109,0.117891,0.73802,2
正品,包装,0.89,包装很好,0.997631,0.00236918,0.994735,2
包装,包装,1.0,包装很好,0.997631,0.00236918,0.994735,2
服务,客服,0.878,客服服务态度好,0.967494,0.0325058,0.927765,2
质量,服务态度,0.877,客服服务态度好,0.967494,0.0325058,0.927765,2
服务,服务态度,0.881,客服服务态度好,0.967494,0.0325058,0.927765,2
发货,到货,1.0,到货很快,0.984702,0.0152984,0.966003,2
效果,omega,0.859,omega,0.998381,0.00161868,0.996403,2
价格,价格比,0.95,阿里健康大药房比较信赖一直都是在这里购买自己需要的药价格比实体店里便宜药品真实好还好,0.994517,0.00548267,0.987816,2
质量,价格比,0.707,阿里健康大药房比较信赖一直都是在这里购买自己需要的药价格比实体店里便宜药品真实好还好,0.994517,0.00548268,0.987816,2
正品,药品,0.879,阿里健康大药房比较信赖一直都是在这里购买自己需要的药价格比实体店里便宜药品真实好还好,0.994517,0.00548268,0.987816,2
包装,药品,0.878,阿里健康大药房比较信赖一直都是在这里购买自己需要的药价格比实体店里便宜药品真实好还好,0.994517,0.00548267,0.987816,2
效果,药效,0.888,这个药效好,0.997111,0.00288906,0.99358,2
价格,价格,1.0,价格实惠,0.999855,0.00014521,0.999677,2
质量,速度快,0.712,速度快,0.999907,9.25521e-05,0.999794,2
效果,常备,0.854,家中常备,0.996399,0.00360102,0.991998,2
价格,以防万一,0.854,以防万一,0.934096,0.0659037,0.853547,2
发货,发货,1.0,阿里发货快,0.933832,0.066168,0.85296,2
价格,价格,1.0,价格实惠,0.999855,0.00014521,0.999677,2
效果,常备,0.854,家庭常备,0.988739,0.0112607,0.974976,2
物流,物流,1.0,物流速度还可以,0.651493,0.348507,0.225539,2
效果,速度,0.722,物流速度还可以,0.651493,0.348507,0.225539,2
质量,速度,0.888,物流速度还可以,0.651493,0.348507,0.225539,2
正品,正品,1.0,应该是正品,0.981543,0.0184572,0.958984,2
包装,正品,0.89,应该是正品,0.981543,0.0184572,0.958984,2
发货,下单,1.0,晚上下单第二天下午就到了,0.900194,0.0998057,0.77821,2
效果,服用,0.87,之前都是服用颗粒冲剂,0.630492,0.369508,0.178872,2
服务,服用,0.854,之前都是服用颗粒冲剂,0.630492,0.369508,0.178872,2
味道,味道,1.0,薄荷味道比较刺鼻,0.260604,0.739396,0.42088,0
味道,女儿,0.857,給女儿上学备用的,0.987997,0.0120027,0.973327,2
正品,商品,0.885,商品琳琅满目,0.96452,0.0354799,0.921156,2
价格,商品,0.884,商品琳琅满目,0.96452,0.0354799,0.921156,2
包装,商品,0.884,商品琳琅满目,0.96452,0.0354799,0.921156,2
服务,服务,1.0,服务一流,0.997065,0.00293482,0.993478,2
服务,服务,1.0,快递员配送服务一流,0.931252,0.0687477,0.847227,2
服务,服务,1.0,售后服务全程跟踪,0.885737,0.114263,0.746083,2
物流,一流,0.867,服务一流,0.997065,0.00293482,0.993478,2
物流,一流,0.867,快递员配送服务一流,0.931252,0.0687477,0.847227,2
正品,正品,1.0,正品行货,0.992256,0.00774447,0.98279,2
包装,正品,0.89,正品行货,0.992256,0.00774448,0.98279,2
正品,行货,0.881,正品行货,0.992256,0.00774447,0.98279,2
发货,行货,0.88,正品行货,0.992256,0.00774448,0.98279,2
质量,质量,1.0,质量绝对保证,0.999905,9.50543e-05,0.999789,2
发货,发货,1.0,发货神速,0.394653,0.605347,0.122994,0
物流,配送,1.0,快递员配送服务一流,0.931252,0.0687477,0.847227,2
服务,服务,1.0,服务一流,0.997065,0.00293482,0.993478,2
服务,服务,1.0,快递员配送服务一流,0.931252,0.0687477,0.847227,2
服务,服务,1.0,售后服务全程跟踪,0.885737,0.114263,0.746083,2
物流,一流,0.867,服务一流,0.997065,0.00293482,0.993478,2
物流,一流,0.867,快递员配送服务一流,0.931252,0.0687477,0.847227,2
质量,售后服务,0.879,售后服务全程跟踪,0.885737,0.114263,0.746083,2
物流,售后服务,0.888,售后服务全程跟踪,0.885737,0.114263,0.746083,2
服务,售后服务,0.892,售后服务全程跟踪,0.885737,0.114263,0.746083,2
服务,客服,0.878,客服很耐心的解答,0.993013,0.00698708,0.984473,2
价格,价格,1.0,价格实惠,0.999855,0.000145209,0.999677,2
效果,效果,1.0,效果真的好,0.999807,0.000192641,0.999572,2
发货,收到,0.874,宝贝收到,0.978708,0.0212922,0.952684,2
正品,正品,1.0,正品,0.999576,0.000424336,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424335,0.999057,2
效果,效果,1.0,温病初期就用药效果会更好,0.872453,0.127547,0.716561,2
正品,商品,0.885,商品不错,0.977817,0.0221835,0.950703,2
价格,商品,0.884,商品不错,0.977817,0.0221835,0.950703,2
包装,商品,0.884,商品不错,0.977817,0.0221835,0.950703,2
质量,质量,1.0,质量很好,0.999824,0.000176511,0.999608,2
物流,物流,1.0,物流很快,0.994968,0.00503173,0.988818,2
效果,常备,0.854,常备之药,0.935362,0.0646383,0.856359,2
包装,药盒,0.882,囤着药盒里,0.968464,0.0315357,0.929921,2
物流,物流,1.0,物流很快,0.994968,0.00503173,0.988818,2
正品,假货,1.0,阿里大药房应该不会卖假货,0.19838,0.80162,0.559156,0
发货,假货,0.875,阿里大药房应该不会卖假货,0.19838,0.80162,0.559156,0
价格,价格比,0.95,价格比实体店便宜,0.970552,0.0294478,0.93456,2
质量,价格比,0.707,价格比实体店便宜,0.970552,0.0294478,0.93456,2
物流,物流,1.0,物流超快,0.998015,0.00198512,0.995589,2
服务,服务,1.0,服务超好,0.998642,0.00135815,0.996982,2
正品,药品,0.879,药品日期也非常好,0.999794,0.000206021,0.999542,2
包装,药品,0.878,药品日期也非常好,0.999794,0.000206021,0.999542,2
效果,速度,0.722,速度很快,0.999424,0.000575719,0.998721,2
质量,速度,0.888,速度很快,0.999424,0.000575719,0.998721,2
品牌,品类,1.0,品类齐全,0.999713,0.000286606,0.999363,2
效果,效果,1.0,治疗效果不错,0.996451,0.00354882,0.992114,2
价格,价格比,0.95,价格比药店便宜,0.950949,0.0490511,0.890997,2
质量,价格比,0.707,价格比药店便宜,0.950949,0.0490511,0.890997,2
效果,服用,0.87,需要经常服用,0.888075,0.111925,0.751277,2
服务,服用,0.854,需要经常服用,0.888075,0.111925,0.751277,2
效果,效果,1.0,退烧效果很好,0.999478,0.000522409,0.998839,2
物流,物流,1.0,物流快,0.996123,0.0038765,0.991386,2
价格,价格便宜,0.877,价格便宜,0.979637,0.0203627,0.95475,2
质量,服务态度,0.877,服务态度好,0.984013,0.0159866,0.964474,2
服务,服务态度,0.881,服务态度好,0.984013,0.0159866,0.964474,2
价格,生产日期,0.877,生产日期都不错,0.996247,0.00375272,0.991661,2
发货,提前,0.869,提前囤点药放家里以备不时之需,0.893747,0.106253,0.763883,2
物流,物急,0.851,闲时物急时用,0.3704,0.6296,0.176888,0
效果,时用,0.858,闲时物急时用,0.370401,0.629599,0.176888,0
效果,先备,0.857,先备上,0.951667,0.0483328,0.892594,2
正品,常用药,0.866,常用药买来囤点备用,0.941151,0.0588486,0.869225,2
品牌,种类,0.87,种类很齐全,0.999029,0.000971037,0.997842,2
发货,发货,1.0,发货也很快,0.985389,0.0146107,0.967532,2
正品,药品,0.879,第一次在淘宝买药品,0.972606,0.0273941,0.939124,2
包装,药品,0.878,第一次在淘宝买药品,0.972606,0.0273941,0.939124,2
质量,产品质量,1.0,产品质量很好值得购买,0.999757,0.000243015,0.99946,2
发货,发货,1.0,发货快,0.882109,0.117891,0.738021,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424336,0.999057,2
服务,服务,1.0,服务好,0.984591,0.0154092,0.965757,2
正品,正品,1.0,是正品,0.998528,0.00147159,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147159,0.99673,2
效果,效果,1.0,效果不错,0.999498,0.000502392,0.998884,2
正品,正品,1.0,正品,0.999576,0.000424336,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424336,0.999057,2
发货,发货,1.0,发货速度快,0.981521,0.018479,0.958935,2
质量,速度快,0.712,发货速度快,0.981521,0.018479,0.958935,2
价格,性价比,0.724,性价比高,0.999885,0.000115398,0.999744,2
发货,发货,1.0,发货也快,0.973567,0.0264335,0.941259,2
效果,疗效,1.0,疗效好,0.999817,0.000182836,0.999594,2
发货,收到,0.874,收到了,0.391056,0.608944,0.130988,0
正品,物品,0.876,第一次花几百元网购的这件物品,0.768458,0.231541,0.485463,2
正品,物品,0.876,非常感谢商家这么好的物品,0.997913,0.00208688,0.995363,2
正品,物品,0.876,还会购买你的物品,0.997612,0.0023884,0.994693,2
物流,物品,0.865,第一次花几百元网购的这件物品,0.768458,0.231542,0.485463,2
物流,物品,0.865,非常感谢商家这么好的物品,0.997913,0.00208689,0.995363,2
物流,物品,0.865,还会购买你的物品,0.997612,0.0023884,0.994693,2
包装,物品,0.886,第一次花几百元网购的这件物品,0.768458,0.231542,0.485463,2
包装,物品,0.886,非常感谢商家这么好的物品,0.997913,0.00208688,0.995363,2
包装,物品,0.886,还会购买你的物品,0.997612,0.0023884,0.994693,2
正品,物品,0.876,第一次花几百元网购的这件物品,0.768458,0.231541,0.485463,2
正品,物品,0.876,非常感谢商家这么好的物品,0.997913,0.00208688,0.995363,2
正品,物品,0.876,还会购买你的物品,0.997612,0.0023884,0.994693,2
物流,物品,0.865,第一次花几百元网购的这件物品,0.768458,0.231541,0.485463,2
物流,物品,0.865,非常感谢商家这么好的物品,0.997913,0.00208688,0.995363,2
物流,物品,0.865,还会购买你的物品,0.997612,0.0023884,0.994693,2
包装,物品,0.886,第一次花几百元网购的这件物品,0.768458,0.231542,0.485463,2
包装,物品,0.886,非常感谢商家这么好的物品,0.997913,0.00208688,0.995363,2
包装,物品,0.886,还会购买你的物品,0.997612,0.0023884,0.994693,2
正品,物品,0.876,第一次花几百元网购的这件物品,0.768458,0.231541,0.485463,2
正品,物品,0.876,非常感谢商家这么好的物品,0.997913,0.00208689,0.995363,2
正品,物品,0.876,还会购买你的物品,0.997612,0.0023884,0.994693,2
物流,物品,0.865,第一次花几百元网购的这件物品,0.768458,0.231542,0.485463,2
物流,物品,0.865,非常感谢商家这么好的物品,0.997913,0.00208688,0.995363,2
物流,物品,0.865,还会购买你的物品,0.997612,0.0023884,0.994693,2
包装,物品,0.886,第一次花几百元网购的这件物品,0.768458,0.231541,0.485463,2
包装,物品,0.886,非常感谢商家这么好的物品,0.997913,0.00208689,0.995363,2
包装,物品,0.886,还会购买你的物品,0.997612,0.0023884,0.994693,2
发货,收到,0.874,收到满意,0.995643,0.00435713,0.990318,2
发货,屯货,0.862,屯货必备,0.989471,0.0105293,0.976602,2
发货,发货,1.0,发货快,0.882109,0.117891,0.738021,2
效果,速度,0.722,速度超级快,0.999864,0.000135705,0.999699,2
质量,速度,0.888,速度超级快,0.999864,0.000135706,0.999699,2
正品,药品,0.879,药品收到了,0.224912,0.775088,0.500196,0
包装,药品,0.878,药品收到了,0.224912,0.775088,0.500196,0
发货,收到,0.874,药品收到了,0.224912,0.775088,0.500196,0
价格,价格,1.0,价格适中,0.999527,0.000473469,0.998948,2
发货,囤货,0.888,囤货,0.81158,0.18842,0.581289,2
正品,药品,0.879,第一次网购买药品,0.973665,0.0263354,0.941477,2
包装,药品,0.878,第一次网购买药品,0.973665,0.0263354,0.941477,2
物流,配送,1.0,配送超快,0.998857,0.00114312,0.99746,2
物流,物流,1.0,物流挺快的,0.981134,0.0188663,0.958075,2
正品,药品,0.879,药品真实,0.963656,0.0363441,0.919235,2
包装,药品,0.878,药品真实,0.963656,0.0363441,0.919235,2
正品,药品,0.879,药品正宗,0.996153,0.00384744,0.99145,2
包装,药品,0.878,药品正宗,0.996153,0.00384744,0.99145,2
正品,正宗,0.871,药品正宗,0.996153,0.00384744,0.99145,2
价格,价格,1.0,价格实惠,0.999855,0.00014521,0.999677,2
发货,收到,0.874,收到了,0.391056,0.608944,0.130987,0
正品,正品,1.0,确实便宜又是正品,0.989702,0.010298,0.977116,2
包装,正品,0.89,确实便宜又是正品,0.989702,0.010298,0.977116,2
发货,囤货,0.888,家用囤货,0.916801,0.0831994,0.815113,2
效果,速度,0.722,速度很快,0.999424,0.000575719,0.998721,2
质量,速度,0.888,速度很快,0.999424,0.000575719,0.998721,2
正品,产品,0.884,我对这个产品是认可的,0.980925,0.0190751,0.957611,2
正品,产品,0.884,所以在我买的满意产品都会附上这条评价,0.973679,0.0263207,0.94151,2
正品,产品,0.884,最重要的产品很好,0.999835,0.000164648,0.999634,2
正品,产品,0.884,我对物美价廉的产品没有抵抗力,0.999905,9.4504e-05,0.99979,2
品牌,产品,1.0,我对这个产品是认可的,0.980925,0.0190751,0.957611,2
品牌,产品,1.0,所以在我买的满意产品都会附上这条评价,0.973679,0.0263207,0.94151,2
品牌,产品,1.0,最重要的产品很好,0.999835,0.000164648,0.999634,2
品牌,产品,1.0,我对物美价廉的产品没有抵抗力,0.999905,9.45039e-05,0.99979,2
价格,评价,0.858,这条评价代表了我的态度,0.048804,0.951196,0.891547,0
价格,评价,0.858,所以在我买的满意产品都会附上这条评价,0.973679,0.0263207,0.94151,2
发货,收收,0.853,收收快递就可以了,0.344676,0.655324,0.234053,0
正品,产品,0.884,我对这个产品是认可的,0.980925,0.0190751,0.957611,2
正品,产品,0.884,所以在我买的满意产品都会附上这条评价,0.973679,0.0263207,0.94151,2
正品,产品,0.884,最重要的产品很好,0.999835,0.000164649,0.999634,2
正品,产品,0.884,我对物美价廉的产品没有抵抗力,0.999905,9.4504e-05,0.99979,2
品牌,产品,1.0,我对这个产品是认可的,0.980925,0.0190751,0.957611,2
品牌,产品,1.0,所以在我买的满意产品都会附上这条评价,0.973679,0.0263207,0.94151,2
品牌,产品,1.0,最重要的产品很好,0.999835,0.000164649,0.999634,2
品牌,产品,1.0,我对物美价廉的产品没有抵抗力,0.999905,9.45039e-05,0.99979,2
价格,评价,0.858,这条评价代表了我的态度,0.048804,0.951196,0.891546,0
价格,评价,0.858,所以在我买的满意产品都会附上这条评价,0.973679,0.0263207,0.94151,2
正品,包装,0.89,包装很好,0.997631,0.00236918,0.994735,2
包装,包装,1.0,包装很好,0.997631,0.00236918,0.994735,2
正品,产品,0.884,我对这个产品是认可的,0.980925,0.0190751,0.957611,2
正品,产品,0.884,所以在我买的满意产品都会附上这条评价,0.973679,0.0263207,0.94151,2
正品,产品,0.884,最重要的产品很好,0.999835,0.000164648,0.999634,2
正品,产品,0.884,我对物美价廉的产品没有抵抗力,0.999905,9.4504e-05,0.99979,2
品牌,产品,1.0,我对这个产品是认可的,0.980925,0.0190751,0.957611,2
品牌,产品,1.0,所以在我买的满意产品都会附上这条评价,0.973679,0.0263207,0.94151,2
品牌,产品,1.0,最重要的产品很好,0.999835,0.000164648,0.999634,2
品牌,产品,1.0,我对物美价廉的产品没有抵抗力,0.999905,9.45039e-05,0.99979,2
正品,产品,0.884,我对这个产品是认可的,0.980925,0.0190751,0.957611,2
正品,产品,0.884,所以在我买的满意产品都会附上这条评价,0.973679,0.0263207,0.94151,2
正品,产品,0.884,最重要的产品很好,0.999835,0.000164649,0.999634,2
正品,产品,0.884,我对物美价廉的产品没有抵抗力,0.999905,9.45039e-05,0.99979,2
品牌,产品,1.0,我对这个产品是认可的,0.980925,0.0190751,0.957611,2
品牌,产品,1.0,所以在我买的满意产品都会附上这条评价,0.973679,0.0263207,0.94151,2
品牌,产品,1.0,最重要的产品很好,0.999835,0.000164649,0.999634,2
品牌,产品,1.0,我对物美价廉的产品没有抵抗力,0.999905,9.4504e-05,0.99979,2
价格,价格,1.0,价格美丽,0.999876,0.000123903,0.999725,2
服务,日常,0.869,家庭日常囤货系列,0.994245,0.0057552,0.987211,2
发货,囤货,0.888,家庭日常囤货系列,0.994245,0.0057552,0.987211,2
品牌,系列,0.883,家庭日常囤货系列,0.994245,0.0057552,0.987211,2
正品,正品,1.0,是正品,0.998528,0.00147159,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147158,0.99673,2
发货,发货,1.0,发货很快,0.946432,0.0535677,0.880961,2
发货,收到,0.874,宝贝收到了,0.905408,0.0945918,0.789796,2
正品,正品,1.0,正品的药,0.996575,0.00342478,0.992389,2
包装,正品,0.89,正品的药,0.996575,0.00342478,0.992389,2
正品,正品,1.0,是正品,0.998528,0.00147158,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147159,0.99673,2
发货,发货,1.0,发货快,0.882109,0.117891,0.73802,2
价格,价格,1.0,下价格实惠,0.998003,0.00199692,0.995562,2
效果,服用,0.87,每次感冒服用连花清瘟胶囊恢复的特别快,0.984671,0.015329,0.965936,2
服务,服用,0.854,每次感冒服用连花清瘟胶囊恢复的特别快,0.984671,0.015329,0.965936,2
正品,产品,0.884,这个产品和它价位相比来说,0.622689,0.377311,0.16153,2
品牌,产品,1.0,这个产品和它价位相比来说,0.622689,0.377311,0.16153,2
价格,价位,1.0,这个产品和它价位相比来说,0.622689,0.377311,0.16153,2
质量,价位,0.883,这个产品和它价位相比来说,0.622689,0.377311,0.16153,2
发货,发货,1.0,发货快,0.882109,0.117891,0.73802,2
正品,商品,0.885,商品好,0.987093,0.012907,0.971318,2
价格,商品,0.884,商品好,0.987093,0.0129069,0.971318,2
包装,商品,0.884,商品好,0.987093,0.0129069,0.971318,2
价格,价格,1.0,价格实惠,0.999855,0.000145209,0.999677,2
价格,价格比,0.95,价格比实体店便宜不少,0.957781,0.0422192,0.906179,2
质量,价格比,0.707,价格比实体店便宜不少,0.957781,0.0422192,0.906179,2
正品,产品,0.884,是理想中的产品,0.975854,0.0241464,0.946341,2
品牌,产品,1.0,是理想中的产品,0.975854,0.0241464,0.946341,2
质量,质量,1.0,质量不错,0.999516,0.000483598,0.998925,2
物流,物流,1.0,物流也很快,0.998092,0.00190818,0.99576,2
质量,品质,0.893,品质很不错,0.999784,0.000216236,0.99952,2
品牌,品质,0.881,品质很不错,0.999784,0.000216236,0.99952,2
价格,性价比,0.724,性价比比较高的的商品,0.996656,0.00334426,0.992568,2
正品,商品,0.885,性价比比较高的的商品,0.996656,0.00334426,0.992568,2
价格,商品,0.884,性价比比较高的的商品,0.996656,0.00334426,0.992568,2
包装,商品,0.884,性价比比较高的的商品,0.996656,0.00334426,0.992568,2
正品,正品,1.0,是正品,0.998528,0.00147158,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147158,0.99673,2
发货,发货,1.0,发货速度快,0.981521,0.0184791,0.958935,2
质量,速度快,0.712,发货速度快,0.981521,0.018479,0.958935,2
价格,价格,1.0,价格也实惠,0.999624,0.00037651,0.999163,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424335,0.999057,2
发货,发货,1.0,发货快方便,0.993944,0.00605611,0.986542,2
效果,效果,1.0,小感冒吃了挺有效果,0.990544,0.00945602,0.978987,2
效果,速度,0.722,阿里速度发货啊,0.159665,0.840334,0.645188,0
质量,速度,0.888,阿里速度发货啊,0.159665,0.840335,0.645188,0
发货,发货,1.0,阿里速度发货啊,0.159665,0.840334,0.645188,0
发货,囤货,0.888,囤货,0.81158,0.18842,0.581289,2
正品,药品,0.879,阿里健康大药房买药品方便快捷,0.990256,0.0097435,0.978348,2
包装,药品,0.878,阿里健康大药房买药品方便快捷,0.990256,0.0097435,0.978348,2
服务,服务,1.0,服务超棒,0.998497,0.00150262,0.996661,2
正品,正品,1.0,是正品,0.998528,0.00147158,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147158,0.99673,2
包装,外,0.854,一股凉气从内到外,0.401155,0.598845,0.108544,0
效果,效果,1.0,效果还不错,0.997839,0.00216081,0.995198,2
正品,正品,1.0,正品行货,0.992256,0.00774448,0.98279,2
包装,正品,0.89,正品行货,0.992256,0.00774447,0.98279,2
正品,行货,0.881,正品行货,0.992256,0.00774447,0.98279,2
发货,行货,0.88,正品行货,0.992256,0.00774447,0.98279,2
服务,客服,0.878,谢谢客服小姐姐帮我耐心解答,0.991759,0.00824066,0.981687,2
质量,服务态度,0.877,服务态度满分,0.99647,0.00353008,0.992155,2
服务,服务态度,0.881,服务态度满分,0.99647,0.00353008,0.992155,2
发货,收到,0.874,连花清瘟胶囊收到了,0.0500676,0.949932,0.888739,0
效果,换季,0.859,换季早晚温差大容易感冒买了以防万一的,0.361987,0.638013,0.195584,0
正品,温差,0.858,换季早晚温差大容易感冒买了以防万一的,0.361987,0.638013,0.195584,0
价格,以防万一,0.854,换季早晚温差大容易感冒买了以防万一的,0.361987,0.638013,0.195584,0
发货,备货,0.895,家中备货,0.984959,0.0150414,0.966574,2
味道,天气,0.871,天气忽冷忽热又突然降温,0.555743,0.444257,0.0127618,2
发货,发货,1.0,发货快物流也快,0.990288,0.00971203,0.978418,2
物流,物流,1.0,发货快物流也快,0.990288,0.00971203,0.978418,2
质量,速度快,0.712,速度快,0.999907,9.25521e-05,0.999794,2
价格,价格,1.0,价格优惠,0.992851,0.00714879,0.984114,2
物流,物流,1.0,物流很快,0.994968,0.00503173,0.988818,2
正品,送货,0.875,送货快,0.987194,0.0128056,0.971543,2
