字典属性,商品属性,相似性,商品属性所在短句,短句积极性,短句消极性,置信度,情感类别
正品,正品,1.0,是正品有条码追溯码,0.933267,0.0667326,0.851705,2
包装,正品,0.89,是正品有条码追溯码,0.933267,0.0667326,0.851705,2
正品,条码,0.715,是正品有条码追溯码,0.933267,0.0667326,0.851705,2
正品,包装,0.89,包装完好无挤压发货迅速物流特快,0.855378,0.144622,0.678617,2
包装,包装,1.0,包装完好无挤压发货迅速物流特快,0.855378,0.144622,0.678617,2
发货,发货,1.0,包装完好无挤压发货迅速物流特快,0.855378,0.144622,0.678617,2
物流,物流,1.0,包装完好无挤压发货迅速物流特快,0.855378,0.144622,0.678617,2
发货,下单,1.0,咋天下午下单第二天下午就收到了,0.361868,0.638132,0.195849,0
发货,收到,0.874,咋天下午下单第二天下午就收到了,0.361868,0.638132,0.195849,0
效果,效果,1.0,希望有效果,0.951165,0.0488354,0.891477,2
发货,囤货,0.888,囤货,0.81158,0.18842,0.581289,2
发货,收到,0.874,复方板蓝根颗粒收到,0.501203,0.498797,0.97594,1
品牌,大品牌,0.919,大品牌,0.999262,0.000738136,0.99836,2
物流,物流,1.0,物流也很快,0.998092,0.00190818,0.99576,2
发货,发货,1.0,发货超快,0.984722,0.0152777,0.96605,2
正品,包装,0.89,包装好,0.977648,0.0223516,0.95033,2
包装,包装,1.0,包装好,0.977648,0.0223516,0.95033,2
服务,日常,0.869,日常屯吧,0.716781,0.283219,0.370624,2
价格,价格公道,0.871,价格公道,0.999524,0.00047624,0.998942,2
服务,价格公道,0.87,价格公道,0.999524,0.00047624,0.998942,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424335,0.999057,2
物流,物流,1.0,物流超快,0.998015,0.00198511,0.995589,2
效果,天冷,0.856,天冷了,0.728834,0.271166,0.397408,2
物流,物流,1.0,物流很快,0.994968,0.00503173,0.988818,2
效果,常备,0.854,家庭常备,0.988739,0.0112607,0.974976,2
正品,包装,0.89,东西很不错看到后特别喜欢包装也很硬值得购买的东西,0.999184,0.000815743,0.998187,2
包装,包装,1.0,东西很不错看到后特别喜欢包装也很硬值得购买的东西,0.999184,0.000815745,0.998187,2
效果,换季,0.859,换季的时候,0.981761,0.0182394,0.959468,2
效果,换季,0.859,换季的时候,0.981761,0.0182394,0.959468,2
正品,药品,0.879,家庭必备药品,0.994792,0.00520848,0.988426,2
正品,药品,0.879,家庭必备药品,0.994792,0.00520848,0.988426,2
包装,药品,0.878,家庭必备药品,0.994792,0.00520848,0.988426,2
包装,药品,0.878,家庭必备药品,0.994792,0.00520848,0.988426,2
效果,换季,0.859,换季的时候,0.981761,0.0182394,0.959468,2
效果,换季,0.859,换季的时候,0.981761,0.0182394,0.959468,2
正品,药品,0.879,家庭必备药品,0.994792,0.00520848,0.988426,2
正品,药品,0.879,家庭必备药品,0.994792,0.00520848,0.988426,2
包装,药品,0.878,家庭必备药品,0.994792,0.00520848,0.988426,2
包装,药品,0.878,家庭必备药品,0.994792,0.00520848,0.988426,2
价格,性价比,0.724,性价比很高,0.99989,0.000110221,0.999755,2
包装,大包,0.744,买了2大包在家里囤着,0.977508,0.0224918,0.950018,2
效果,换季,0.859,适合秋冬换季,0.999097,0.000902696,0.997994,2
质量,实用,0.877,非常实用,0.99986,0.000140104,0.999689,2
效果,效果,1.0,复方的感觉效果会更好一点,0.732891,0.267109,0.406425,2
效果,效果,1.0,效果很好,0.999885,0.000115396,0.999744,2
味道,味道,1.0,味道还行,0.645192,0.354808,0.211538,2
正品,正品,1.0,是正品,0.998528,0.00147159,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147158,0.99673,2
价格,价格,1.0,价格还优惠,0.955057,0.0449427,0.900128,2
价格,价格,1.0,双11价格优惠点,0.838797,0.161203,0.641772,2
效果,效果,1.0,效果好,0.99984,0.000159736,0.999645,2
味道,味道,1.0,味道也和其他牌子的一样,0.950074,0.0499261,0.889053,2
正品,正品,1.0,应该是正品,0.981543,0.0184572,0.958984,2
包装,正品,0.89,应该是正品,0.981543,0.0184572,0.958984,2
价格,价格,1.0,价格实惠,0.999855,0.00014521,0.999677,2
正品,包装,0.89,包装很好,0.997631,0.00236918,0.994735,2
包装,包装,1.0,包装很好,0.997631,0.00236918,0.994735,2
发货,发货,1.0,发货速度,0.257163,0.742837,0.428528,0
效果,速度,0.722,发货速度,0.257162,0.742838,0.428528,0
质量,速度,0.888,发货速度,0.257162,0.742837,0.428528,0
物流,物流,1.0,物流很快,0.994968,0.00503173,0.988818,2
正品,包装,0.89,包装完好,0.975809,0.0241915,0.946241,2
包装,包装,1.0,包装完好,0.975809,0.0241915,0.946241,2
发货,卖家,0.729,卖家服务很好,0.988976,0.011024,0.975502,2
服务,服务,1.0,卖家服务很好,0.988976,0.011024,0.975502,2
质量,回购,0.856,有需要的话还会回购的,0.998572,0.00142783,0.996827,2
发货,发货,1.0,发货很快,0.946432,0.0535677,0.880961,2
质量,回购,0.856,非常值得再次回购,0.999972,2.80638e-05,0.999938,2
发货,收到,0.874,东西收到以后马上查看,0.142726,0.857274,0.682831,0
发货,发现,0.866,发现与图片描述一致,0.120073,0.879927,0.733172,0
发货,卖家,0.729,卖家发货速度很快,0.804374,0.195626,0.565275,2
发货,发货,1.0,卖家发货速度很快,0.804374,0.195626,0.565275,2
效果,速度,0.722,卖家发货速度很快,0.804374,0.195626,0.565275,2
质量,速度,0.888,卖家发货速度很快,0.804374,0.195626,0.565275,2
服务,服务,1.0,服务也很到位,0.999054,0.000945807,0.997898,2
包装,老板,0.864,给老板点个赞,0.9987,0.00130023,0.997111,2
味道,味道,1.0,复方的喝起来味道比普通的要厚重一些,0.971114,0.0288855,0.93581,2
效果,效果,1.0,而且效果也更好,0.999502,0.000497993,0.998893,2
价格,价格,1.0,价格实惠,0.999855,0.00014521,0.999677,2
物流,物流,1.0,物流也快,0.997352,0.00264761,0.994116,2
味道,味道,1.0,味道跟以前买的一样,0.922055,0.0779447,0.82679,2
包装,袋,0.759,还是袋数多吃了好几包下次还来买,0.994761,0.00523928,0.988357,2
效果,常备,0.854,家里常备点,0.948979,0.0510213,0.886619,2
发货,收到,0.874,第二天就收到了,0.766106,0.233894,0.480235,2
正品,存货,0.884,存货来着,0.783886,0.216114,0.519746,2
发货,存货,0.882,存货来着,0.783885,0.216115,0.519745,2
效果,效果,1.0,效果也很好,0.999924,7.56244e-05,0.999832,2
价格,价格便宜,0.877,价格便宜,0.979637,0.0203627,0.954749,2
正品,正品,1.0,是正品,0.998528,0.00147158,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147158,0.99673,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424336,0.999057,2
正品,正品,1.0,是正品,0.998528,0.00147159,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147159,0.99673,2
服务,客服,0.878,客服也超好,0.998955,0.00104449,0.997679,2
效果,常备,0.854,秋冬常备,0.998604,0.0013956,0.996899,2
发货,送到,0.865,送到家好评,0.998058,0.00194241,0.995684,2
正品,是因为,0.853,是因为没竞争了吗,0.00383507,0.996165,0.991478,0
效果,速度,0.722,快递速度很快,0.970829,0.0291709,0.935176,2
质量,速度,0.888,快递速度很快,0.970829,0.0291709,0.935176,2
正品,正品,1.0,感冒药也是正品,0.997203,0.00279702,0.993784,2
包装,正品,0.89,感冒药也是正品,0.997203,0.00279702,0.993784,2
物流,物流,1.0,物流超快,0.998015,0.00198512,0.995589,2
物流,物流,1.0,物流非常快,0.998281,0.00171945,0.996179,2
质量,质量,1.0,质量不错,0.999516,0.000483598,0.998925,2
正品,平常,0.858,平常偶尔上火冲来喝喝的,0.955699,0.0443008,0.901554,2
物流,物流,1.0,物流挺快,0.971978,0.0280222,0.937728,2
价格,价格比,0.95,价格比药店便宜,0.950949,0.0490511,0.890997,2
质量,价格比,0.707,价格比药店便宜,0.950949,0.0490511,0.890997,2
价格,价格便宜,0.877,价格便宜物流块,0.704095,0.295905,0.342434,2
物流,物流,1.0,价格便宜物流块,0.704095,0.295905,0.342434,2
价格,价格便宜,0.877,价格便宜一些,0.845849,0.154151,0.657443,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424336,0.999057,2
味道,天气,0.871,这天气忽冷忽热的容易感冒,0.339578,0.660422,0.245382,0
发货,收到,0.874,没有收到b6,0.0143177,0.985682,0.968183,0
效果,常备,0.854,家里常备好药,0.987436,0.0125638,0.972081,2
品牌,大品牌,0.919,大品牌值得信赖,0.99987,0.000130219,0.999711,2
服务,服务,1.0,服务好发货快点,0.988627,0.0113727,0.974728,2
发货,发货,1.0,服务好发货快点,0.988627,0.0113727,0.974728,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424335,0.999057,2
正品,包装,0.89,包装很好,0.997631,0.00236918,0.994735,2
包装,包装,1.0,包装很好,0.997631,0.00236918,0.994735,2
发货,收到,0.874,药已收到,0.149111,0.850889,0.668641,0
效果,没用,0.855,还没用,0.000724734,0.999275,0.998389,0
发货,到货,1.0,到货快,0.983943,0.0160568,0.964318,2
味道,微甜,0.888,板蓝根有点微甜的味道不错,0.991952,0.00804822,0.982115,2
味道,味道,1.0,板蓝根有点微甜的味道不错,0.991952,0.00804822,0.982115,2
效果,常备,0.854,家中常备好药,0.991438,0.00856153,0.980974,2
质量,速度快,0.712,速度快,0.999907,9.25521e-05,0.999794,2
质量,服务态度,0.877,店家服务态度很好,0.995862,0.00413826,0.990804,2
服务,服务态度,0.881,店家服务态度很好,0.995862,0.00413826,0.990804,2
价格,售后,0.873,售后也是,0.0707317,0.929268,0.842818,0
物流,售后,0.887,售后也是,0.0707317,0.929268,0.842818,0
服务,售后,0.89,售后也是,0.0707318,0.929268,0.842818,0
正品,货,0.884,2月的货,0.543857,0.456143,0.122863,1
发货,货,0.891,2月的货,0.543857,0.456143,0.122862,1
发货,到货,1.0,到货挺快的,0.970504,0.0294956,0.934454,2
发货,发货,1.0,发货速度,0.257163,0.742837,0.428528,0
效果,速度,0.722,发货速度,0.257163,0.742837,0.428528,0
质量,速度,0.888,发货速度,0.257162,0.742838,0.428528,0
价格,价格,1.0,价格上优惠多了,0.412222,0.587778,0.0839508,0
发货,发货,1.0,发货挺快,0.93386,0.0661403,0.853022,2
发货,收到,0.874,板蓝根收到了,0.170363,0.829637,0.621416,0
正品,包装,0.89,包装和规格什么的都跟在小区旁边的药店买的一样,0.221054,0.778946,0.50877,0
包装,包装,1.0,包装和规格什么的都跟在小区旁边的药店买的一样,0.221054,0.778947,0.50877,0
价格,规格,0.879,包装和规格什么的都跟在小区旁边的药店买的一样,0.221054,0.778947,0.50877,0
品牌,大品牌,0.919,大品牌,0.999262,0.000738136,0.99836,2
效果,速度,0.722,速度好快,0.999847,0.000152793,0.99966,2
质量,速度,0.888,速度好快,0.999847,0.000152793,0.99966,2
质量,力,0.875,快递也给力,0.998658,0.00134221,0.997017,2
发货,发货,1.0,发货很快,0.946432,0.0535677,0.880961,2
效果,常备,0.854,常备药品,0.88882,0.11118,0.752933,2
正品,药品,0.879,常备药品,0.88882,0.11118,0.752933,2
包装,药品,0.878,常备药品,0.88882,0.11118,0.752933,2
发货,发货,1.0,发货迅速,0.873656,0.126344,0.719235,2
正品,正品,1.0,正品没问题,0.999469,0.000530511,0.998821,2
包装,正品,0.89,正品没问题,0.999469,0.000530512,0.998821,2
正品,包装,0.89,包装也很赞,0.999886,0.000113989,0.999747,2
包装,包装,1.0,包装也很赞,0.999886,0.000113989,0.999747,2
发货,囤货,0.888,囤货一堆,0.325865,0.674135,0.275856,0
价格,价格,1.0,价格实惠,0.999855,0.00014521,0.999677,2
发货,到货,1.0,到货快,0.983943,0.0160569,0.964318,2
发货,发货,1.0,发货也快,0.973567,0.0264334,0.941259,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424336,0.999057,2
味道,甜,0.899,这玩意就是有点甜,0.0908139,0.909186,0.798191,0
物流,物流,1.0,物流很快,0.994968,0.00503173,0.988818,2
发货,一般般,0.856,一般般吧,0.0645052,0.935495,0.856655,0
发货,收到,0.874,今天中午就收到了,0.949657,0.0503431,0.888126,2
效果,速度,0.722,速度杠杠的,0.999901,9.94778e-05,0.999779,2
质量,速度,0.888,速度杠杠的,0.999901,9.94777e-05,0.999779,2
正品,药品,0.879,还是囤点清热解毒的药品好,0.569274,0.430726,0.0428303,2
包装,药品,0.878,还是囤点清热解毒的药品好,0.569274,0.430726,0.0428306,2
正品,正品,1.0,是正品的,0.998294,0.00170599,0.996209,2
包装,正品,0.89,是正品的,0.998294,0.00170599,0.996209,2
效果,见效,0.871,喝了两袋立马见效,0.980842,0.0191576,0.957428,2
效果,没用,0.855,可这次就是没用上,0.619775,0.380225,0.155055,2
效果,换季,0.859,一换季就容易感冒,0.141286,0.858714,0.686031,0
发货,收到,0.874,东西收到了很好,0.999526,0.000474035,0.998947,2
发货,收到,0.874,东西收到了很好发货也快,0.998755,0.00124515,0.997233,2
发货,发货,1.0,东西收到了很好发货也快,0.998755,0.00124515,0.997233,2
正品,药品,0.879,家庭常用药品备用,0.951515,0.0484852,0.892255,2
包装,药品,0.878,家庭常用药品备用,0.951515,0.0484852,0.892255,2
品牌,品牌,1.0,购药认准白云山品牌,0.986098,0.0139024,0.969106,2
发货,收到,0.874,宝贝已收到,0.969271,0.0307294,0.931712,2
正品,正品,1.0,正品保证,0.999836,0.00016441,0.999635,2
包装,正品,0.89,正品保证,0.999836,0.00016441,0.999635,2
发货,发现,0.866,拿到手发现完全多虑了,0.419405,0.580595,0.0679885,0
发货,收到,0.874,东西收到了,0.355832,0.644168,0.209262,0
发货,到货,1.0,到货迅速,0.979441,0.0205593,0.954313,2
正品,包装,0.89,包装没有烂,0.00263029,0.99737,0.994155,0
包装,包装,1.0,包装没有烂,0.00263028,0.99737,0.994155,0
价格,价钱,0.892,价钱比药店便宜一两块,0.64412,0.35588,0.209156,2
味道,味道,1.0,而且白云山的板蓝根味道不错,0.984853,0.0151466,0.966341,2
效果,管用,0.874,咽痛很管用,0.996956,0.00304419,0.993235,2
价格,涨价,0.89,现在这些什么凉茶什么东西都涨价了,0.4533,0.5467,0.0659984,1
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424335,0.999057,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424335,0.999057,2
正品,咖啡,0.878,中国咖啡,0.962374,0.0376256,0.916388,2
正品,药品,0.879,药品是正品,0.986436,0.0135637,0.969858,2
包装,药品,0.878,药品是正品,0.986436,0.0135637,0.969858,2
正品,正品,1.0,药品是正品,0.986436,0.0135637,0.969858,2
包装,正品,0.89,药品是正品,0.986436,0.0135637,0.969858,2
效果,常备,0.854,家中常备,0.996399,0.00360102,0.991998,2
包装,小包,0.74,只吃了两小包,0.442301,0.557698,0.0171077,0
发货,卖家,0.729,卖家也很风趣,0.948919,0.0510813,0.886486,2
味道,风趣,0.875,卖家也很风趣,0.948919,0.0510813,0.886486,2
效果,入冬,0.854,要入冬了,0.509857,0.490143,0.802864,1
品牌,假,0.851,板蓝根这东西应该不会是假的,0.187892,0.812108,0.582463,0
包装,外面,0.863,比外面便宜点,0.976611,0.0233891,0.948024,2
发货,下单,1.0,昨天下单,0.778418,0.221582,0.507596,2
效果,效果,1.0,复方效果就是好一些,0.969017,0.0309827,0.931149,2
正品,正品,1.0,应该是正品,0.981543,0.0184572,0.958984,2
包装,正品,0.89,应该是正品,0.981543,0.0184572,0.958984,2
效果,效果,1.0,效果很好,0.999885,0.000115396,0.999744,2
效果,没用,0.855,还没用,0.000724734,0.999275,0.998389,0
正品,正好,0.852,正好感冒用上了,0.886135,0.113865,0.746967,2
正品,正好,0.852,正好网上买了价格也优惠一些,0.985414,0.0145863,0.967586,2
正品,正好,0.852,正好感冒用上了,0.886135,0.113865,0.746967,2
正品,正好,0.852,正好网上买了价格也优惠一些,0.985414,0.0145863,0.967586,2
价格,价格,1.0,正好网上买了价格也优惠一些,0.985414,0.0145863,0.967586,2
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424335,0.999057,2
效果,效果,1.0,效果好,0.99984,0.000159736,0.999645,2
效果,有用,0.87,也有用,0.961968,0.0380318,0.915485,2
物流,物流,1.0,物流和产品都不错,0.997613,0.0023874,0.994695,2
正品,产品,0.884,物流和产品都不错,0.997613,0.0023874,0.994695,2
品牌,产品,1.0,物流和产品都不错,0.997613,0.0023874,0.994695,2
价格,性价比,0.724,性价比高,0.999885,0.000115398,0.999744,2
发货,备货,0.895,备货的,0.891997,0.108003,0.759994,2
发货,备货,0.895,小时候经常喝的备货的,0.993858,0.00614225,0.986351,2
发货,备货,0.895,备货的,0.891997,0.108003,0.759994,2
发货,备货,0.895,小时候经常喝的备货的,0.993858,0.00614225,0.986351,2
效果,速度,0.722,闪电速度,0.98373,0.0162698,0.963845,2
质量,速度,0.888,闪电速度,0.98373,0.0162698,0.963845,2
发货,到货,1.0,两天到货,0.610942,0.389058,0.135427,2
发货,收到,0.874,收到了,0.391056,0.608944,0.130988,0
发货,收到,0.874,药已经收到了,0.574075,0.425925,0.053499,2
效果,效果,1.0,效果不错,0.999498,0.000502392,0.998884,2
物流,物流,1.0,物流也很快,0.998092,0.00190818,0.99576,2
质量,服务态度,0.877,服务态度也很好,0.997281,0.00271913,0.993958,2
服务,服务态度,0.881,服务态度也很好,0.997281,0.00271912,0.993958,2
发货,收,0.875,习惯好评收,0.96698,0.03302,0.926622,2
物流,物流,1.0,物流很快,0.994968,0.00503173,0.988818,2
正品,常用药,0.866,都是常用药,0.429661,0.570339,0.0451981,0
正品,商品,0.885,该商品只能说一般,0.00162966,0.99837,0.996379,0
价格,商品,0.884,该商品只能说一般,0.00162966,0.99837,0.996379,0
包装,商品,0.884,该商品只能说一般,0.00162966,0.99837,0.996379,0
价格,原价,0.892,原价溢价过剩,0.247202,0.752798,0.450661,0
价格,溢价,0.889,原价溢价过剩,0.247202,0.752798,0.450662,0
发货,提交,0.869,淘宝APP大促甚至非大促晚上系统都经常无法提交订单,0.0790318,0.920968,0.824374,0
发货,订单,0.897,淘宝APP大促甚至非大促晚上系统都经常无法提交订单,0.0790318,0.920968,0.824374,0
效果,高度,0.728,高度怀疑恶意为之,0.0361331,0.963867,0.919704,0
质量,高度,0.887,高度怀疑恶意为之,0.0361331,0.963867,0.919704,0
发货,反馈,0.873,反馈小蜜各种找借口不承认,0.00155509,0.998445,0.996544,0
正品,小蜜,0.864,反馈小蜜各种找借口不承认,0.0015551,0.998445,0.996544,0
包装,借口,0.858,反馈小蜜各种找借口不承认,0.0015551,0.998445,0.996544,0
效果,亲亲,0.852,这就是路人眼中亲亲tb,0.949773,0.0502267,0.888385,2
效果,sha,0.854,蒙在鼓里被sha熟还能说官方好～,0.885242,0.114758,0.744981,2
正品,正品,1.0,感觉应该是正品,0.992571,0.00742882,0.983491,2
包装,正品,0.89,感觉应该是正品,0.992571,0.00742882,0.983491,2
味道,味道,1.0,味道呢,0.906144,0.0938556,0.791432,2
正品,正版,0.873,正版,0.999575,0.000425074,0.999055,2
发货,发货,1.0,就是发货太慢了,0.100773,0.899227,0.77606,0
质量,服务态度,0.877,快递员服务态度很好,0.99209,0.0079104,0.982421,2
服务,服务态度,0.881,快递员服务态度很好,0.99209,0.0079104,0.982421,2
发货,收到,0.874,收到,0.688881,0.311119,0.308625,2
效果,常备,0.854,家中常备,0.996399,0.00360102,0.991998,2
物流,物流,1.0,物流太慢了,0.00743494,0.992565,0.983478,0
发货,发货,1.0,结果第二天才发货,0.00234291,0.997657,0.994794,0
正品,包装,0.89,包装很好,0.997631,0.00236918,0.994735,2
包装,包装,1.0,包装很好,0.997631,0.00236918,0.994735,2
质量,质量,1.0,质量也没有问题,0.765433,0.234567,0.47874,2
味道,太甜,0.87,太甜了点,0.049445,0.950555,0.890122,0
效果,常备,0.854,家居常备,0.995106,0.00489426,0.989124,2
效果,常备,0.854,家里常备好药,0.987436,0.0125638,0.972081,2
价格,以防万一,0.854,买点再加以防万一,0.593799,0.4062,0.0973321,2
正品,正品,1.0,正品,0.999576,0.000424336,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424336,0.999057,2
价格,评价,0.858,板蓝根没什么好评价了吧,0.00879175,0.991208,0.980463,0
发货,发,0.871,没有发这么多货给我,0.0110917,0.988908,0.975352,0
发货,多货,0.857,没有发这么多货给我,0.0110917,0.988908,0.975352,0
包装,包,0.892,我买了7件14包,0.935677,0.0643232,0.85706,2
包装,包,0.892,到货只有11包,0.00491424,0.995086,0.989079,0
发货,到货,1.0,到货只有11包,0.00491424,0.995086,0.989079,0
包装,包,0.892,我买了7件14包,0.935677,0.0643232,0.85706,2
包装,包,0.892,到货只有11包,0.00491424,0.995086,0.989079,0
发货,发了,0.851,发了一袋复方,0.377908,0.622092,0.160205,0
正品,包装,0.89,包装和明细没有了就这么留下了,0.00145938,0.998541,0.996757,0
包装,包装,1.0,包装和明细没有了就这么留下了,0.00145938,0.998541,0.996757,0
发货,发货,1.0,希望发货能细心一点,0.0406631,0.959337,0.909638,0
正品,正品,1.0,正品,0.999576,0.000424335,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424335,0.999057,2
发货,发货,1.0,发货快,0.882109,0.117891,0.738021,2
价格,生产日期,0.877,生产日期不新鲜,0.000349252,0.999651,0.999224,0
正品,正品,1.0,正品,0.999576,0.000424336,0.999057,2
包装,正品,0.89,正品,0.999576,0.000424335,0.999057,2
物流,物流,1.0,物流很快,0.994968,0.00503173,0.988818,2
正品,包装,0.89,包装很好,0.997631,0.00236918,0.994735,2
包装,包装,1.0,包装很好,0.997631,0.00236918,0.994735,2
服务,客服,0.878,客服态度好,0.920789,0.0792109,0.823976,2
价格,生产,0.881,日期不理想20年11月生产的有效期到22年10月,0.00973712,0.990263,0.978362,0
正品,正品,1.0,正品好货,0.999064,0.000935815,0.99792,2
包装,正品,0.89,正品好货,0.999064,0.000935815,0.99792,2
发货,好货,0.855,正品好货,0.999064,0.000935815,0.99792,2
正品,包装,0.89,包装精美送到家,0.998912,0.00108846,0.997581,2
包装,包装,1.0,包装精美送到家,0.998912,0.00108846,0.997581,2
发货,送到,0.865,包装精美送到家,0.998912,0.00108846,0.997581,2
发货,发货,1.0,闪电发货,0.746094,0.253906,0.435765,2
正品,包装,0.89,包装严实,0.972078,0.0279216,0.937952,2
包装,包装,1.0,包装严实,0.972078,0.0279216,0.937952,2
物流,物流,1.0,物流很快,0.994968,0.00503173,0.988818,2
物流,送,0.852,送的杯子也很喜欢,0.999902,9.81926e-05,0.999782,2
发货,送,0.871,送的杯子也很喜欢,0.999902,9.81927e-05,0.999782,2
正品,正品,1.0,查一下是正品,0.971106,0.028894,0.935791,2
包装,正品,0.89,查一下是正品,0.971106,0.028894,0.935791,2
服务,日常,0.869,日常备注药,0.606058,0.393942,0.124573,2
正品,正品,1.0,正品保障,0.99975,0.000249632,0.999445,2
包装,正品,0.89,正品保障,0.99975,0.000249632,0.999445,2
发货,好货,0.855,实惠好货,0.997408,0.00259197,0.99424,2
正品,正品,1.0,是正品,0.998528,0.00147158,0.99673,2
包装,正品,0.89,是正品,0.998528,0.00147158,0.99673,2
包装,大包,0.744,很实惠的两大包,0.998933,0.00106737,0.997628,2
正品,包装,0.89,但是包装无可挑剔,0.952875,0.0471255,0.895277,2
包装,包装,1.0,但是包装无可挑剔,0.952874,0.0471255,0.895277,2
正品,药品,0.879,必须必备的药品,0.998868,0.00113244,0.997483,2
包装,药品,0.878,必须必备的药品,0.998868,0.00113244,0.997483,2
价格,评价,0.858,主要懒得写评价,0.00941372,0.990586,0.979081,0
发货,发货,1.0,发货超级快,0.991442,0.00855791,0.980982,2
正品,正品,1.0,绝对正品,0.999895,0.000105285,0.999766,2
包装,正品,0.89,绝对正品,0.999895,0.000105285,0.999766,2
发货,收到,0.874,宝贝收到了,0.905408,0.0945918,0.789796,2
物流,物流,1.0,物流挺快的,0.981134,0.0188663,0.958075,2
服务,服务,1.0,服务和快递较女子,0.565943,0.434057,0.0354298,2
发货,发错,0.873,发错地址,0.909556,0.0904445,0.799012,2
品牌,品牌,1.0,信赖的品牌,0.999839,0.000160605,0.999643,2
品牌,体验,0.867,购物体验非常好,0.999863,0.000136561,0.999697,2
发货,卖家,0.729,卖家差评,0.000409967,0.99959,0.999089,0
物流,物流,1.0,挺好的物流很快,0.998282,0.0017182,0.996182,2
味道,点儿,0.87,能好点儿,0.429605,0.570395,0.0453211,0
物流,物流,1.0,物流从9号开始发货,0.564765,0.435235,0.0328118,2
物流,物流,1.0,物流有点慢,0.0362957,0.963704,0.919343,0
发货,发货,1.0,物流从9号开始发货,0.564765,0.435235,0.0328114,2
物流,物流,1.0,物流从9号开始发货,0.564765,0.435235,0.0328118,2
物流,物流,1.0,物流有点慢,0.0362957,0.963704,0.919343,0
发货,收到,0.874,收到了,0.391056,0.608944,0.130987,0
发货,发货,1.0,发货很快,0.946432,0.0535677,0.880961,2
效果,管用,0.874,喝点管用,0.779214,0.220786,0.509364,2
价格,价格,1.0,价格优惠,0.992851,0.00714879,0.984114,2
